id1,id2,relationship,score,openai_response,medllama_response,medllama_score,medllama_relationship,Symbol,vq*,omim,causal/total,omim_binary
10018,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,BCL2L11,0.0,False,0.0,0
100359403,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,PARK16,0.0,False,0.0,0
10059,D010300,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,DNM1L,0.0,False,0.0,0
10159,D010300,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,ATP6AP2,0.0,True,0.0,1
1020,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CDK5,0.0,False,0.0,0
10376,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,TUBA1B,0.0,False,0.0,0
104015,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Synj1,0.0,False,0.0,0
104354,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Rep1,0.0,False,0.0,0
10452,D010300,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,TOMM40,0.0,False,0.0,0
105675,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Ppif,0.0,False,0.0,0
10769,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,PLK2,0.0,False,0.0,0
10935,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,PRDX3,0.0,False,0.0,0
10981,D010300,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,RAB32,1.0,True,0.5,1
11124,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,FAF1,0.0,False,0.0,0
11140,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.5}",0.5,Causal,CDC37,0.0,False,0.0,0
1121,D010300,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,CHM,0.0,False,0.0,0
112935892,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,LINC02605,0.0,False,0.0,0
11315,D010300,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"":""Causal"",""score"":0.0}",0.0,Causal,PARK7,0.8298308235205627,True,0.0625,1
114548,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,NLRP3,0.0,False,0.0,0
11651,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,Akt1,0.0,False,0.0,0
11820,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,App,0.0,False,0.0,0
120892,D010300,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"":""causal"",""score"":0.0}",0.0,causal,LRRK2,0.9609419856160524,True,0.2054794520547945,1
12367,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,Casp3,0.0,False,0.0,0
124,D010300,Causal,0.85,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,ADH1A,0.0,False,0.0,0
126,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,ADH1C,0.0,True,0.0,1
12798012,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,mir-let7,0.0,False,0.0,0
12798434,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,mir-184,0.0,False,0.0,0
13162,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,Slc6a3,0.0,False,0.0,0
13489,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Drd2,0.0,False,0.0,0
13618,D010300,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Ednrb,0.0,False,0.0,0
13649,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Egfr,0.0,False,0.0,0
1385,D010300,Not causal,0.19999999999999996,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.8
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,CREB1,0.0,False,0.0,0
13858,D010300,Causal,0.85,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Eps15,0.0,False,0.0,0
14084,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Faf1,0.0,False,0.0,0
142,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"":""Not causal"",""score"":0.0}",0.0,Not causal,PARP1,0.0,False,0.0,0
14783,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Grb10,0.0,False,0.0,0
151393,D010300,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,RMDN2,0.0,False,0.0,0
15370,D010300,Causal,0.8,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.8
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,Nr4a1,0.0,False,0.0,0
154,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,ADRB2,0.0,False,0.0,0
15499,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Hsf1,0.0,False,0.0,0
15511,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Hspa1b,0.0,False,0.0,0
156117,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Casp12,0.0,False,0.0,0
158506,D010300,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,CBLL2,0.0,False,0.0,0
16000,D010300,Not causal,0.19999999999999996,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.8
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Igf1,0.0,False,0.0,0
16001,D010300,Causal,0.85,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Igf1r,0.0,False,0.0,0
1609,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,DGKQ,0.0,False,0.0,0
1616,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,DAXX,0.0,False,0.0,0
16905,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Lmna,0.0,False,0.0,0
16917,D010300,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Lmx1b,0.0,False,0.0,0
170731,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Mfn2,0.0,False,0.0,0
171221,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,DNAJB1P1,0.0,False,0.0,0
17172,D010300,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Ascl1,0.0,False,0.0,0
1728,D010300,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,NQO1,0.0,False,0.0,0
1742,D010300,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,DLG4,0.0,False,0.0,0
